,TomorrowRiver
3,0.07297969585494996
1,0.00985998356520236
2,0.008877645469467657
4,0.042601394306740564
5,0.47739404104644007
6,0.03842212768641695
7,0.04901616844845264
8,0.02282327874949879
9,0.16057094291464272
10,0.03543214922410352
11,0.09606062874125615
12,0.01692530129051043
13,0.01475994251993939
14,0.012656344215271233
15,0.010507825726501697
16,0.06313789705400832
17,0.029734459680214317
18,0.019096207897797857
19,0.03304168608540444
20,0.08314818768585235
21,0.004863505558889684
22,0.049531758309032094
23,0.026738727840194168
24,0.005910762980564581
25,0.0363740953538051
26,0.019884929832243232
27,0.08266189021155891
28,0.011390221457446045
29,0.010825416271259825
30,0.08894397486163653
31,0.009757193865241253
32,0.01279020253010136
33,0.0066004871570357745
34,0.082281057293051
35,0.015148235042314016
36,0.017781302783033547
37,0.03420977759581325
38,0.05012105693227104
39,0.038961184765483194
40,0.05888317655047453
41,0.007542714563261604
42,0.06700701025034873
43,0.02084577830773911
44,0.020877462578462413
45,0.01263804152217708
46,0.07782002403265922
47,0.012131709643542163
48,0.018114859091161145
49,0.010264221258138731
50,0.029622312242869524
51,0.011123699839448454
52,0.04515191950977047
53,0.01344205936120496
54,0.038112301388688465
55,0.009788538206057493
56,0.014224192413919194
57,0.0020547354496109585
58,0.02458260791494021
59,0.006148035669141401
60,0.03265767575757204
61,0.006337538850822246
62,0.026801250836334795
63,0.01563587689405032
64,0.026512762341800278
65,0.013617544532470762
66,0.011730831347555155
67,0.07932992838529897
68,0.07238891648560253
69,0.0508614094449485
70,0.009612596665367571
71,0.004890811276248787
72,0.006981124711554474
73,0.010936083865929605
74,0.008059053999101902
75,0.043540005767934785
76,0.017110314604902106
77,0.0127067847045311
78,0.00907373052707036
79,0.01699695575785357
80,0.03365079007143002
81,0.022873450268738618
82,0.007838512125663978
83,0.018946188352579676
84,0.009880652450416944
85,0.02380976555132619
86,0.015936132547383595
87,0.004623166589797122
88,0.002450862171663604
89,0.01602353448268373
90,0.016469254161719103
91,0.029629546255166037
92,0.016627280494284653
93,0.004075342580091629
94,0.005966722937827824
95,0.012464134894983223
96,0.014078023690644816
97,0.010420922764954014
98,0.00224029685480411
99,0.0030490284393343077
100,0.015369158519599267
101,0.021885676927653464
102,0.009625091247443122
103,0.0014897038373935972
104,0.007224179808308344
105,0.0074396199333137325
106,0.022839425623907585
107,0.00977302940043308
108,0.0008070852713227768
109,0.003012723610981455
110,0.0048407358477320925
111,0.005300026870713678
112,0.005575429294959367
113,0.006844385232138754
114,0.00047259266336822404
115,0.0029728947628846554
116,0.011768513578175259
117,0.011897146669592407
118,0.009976987637983391
119,0.02268141041442372
120,0.0024180122545999832
121,0.015218800972929178
122,0.017947175924128457
123,0.002054221610956167
124,0.005716698208228031
125,0.0026840369192825137
126,0.000538396035649784
127,0.0054345326982927515
128,0.0016081065541327826
129,0.005654266472297293
130,0.011086377698662693
131,0.01022380182823677
132,0.008404210507496008
133,0.03355427540213517
134,0.0016036575005022062
135,0.005414849974493065
136,0.0175099417313629
137,0.0024884014244562266
138,0.010484925825119602
139,0.0005928064276987628
140,0.007890542199167181
141,0.0012624945261731045
142,0.004293202568656664
143,0.001137058258232122
144,0.001587257169735334
145,0.0024311843592841023
146,0.00028161593030607966
147,0.00041054009598773554
148,0.0011533581196319855
149,0.005579202015369812
150,0.0053973501592079485
151,0.004685295801631064
152,0.003498137590114933
153,0.013186311291680264
154,0.001769861570441977
155,0.00508628472496179
156,0.0007970846596951948
157,0.00041042172879491705
158,0.002833827505892743
159,0.00018035960723440038
160,0.0003020380358325979
161,0.0005968876291501101
162,0.0006673834957202151
163,0.0034013492932409377
164,0.00020053351754429334
165,0.000995853164447832
166,4.56465442626311e-05
167,0.0006046933902445637
168,0.0004955632984329014
169,0.00154603201331828
170,3.5713818380162664e-05
171,0.00025256392005546825
172,0.001516698792559412
173,0.0006653660301961352
174,0.00010114889023253533
175,0.0003316938343023036
176,0.00034446255110041424
177,0.0009770221728894939
178,0.00015858425722572108
179,7.426898352212148e-05
180,7.076095303374478e-05
181,6.741822097833888e-05
182,0.00039942784414647835
183,0.00021305208936167426
184,5.5754100075087704e-05
185,0.0006802698586481874
186,0.0008668339145861528
187,0.0002190048427574954
188,0.00018789180244274155
189,0.00022917162830676018
190,0.00024050620700829587
191,0.00015975365483568297
192,0.00020694441895166834
193,0.00012336832881603804
194,0.00012353336471938346
195,0.00011227138126380732
196,0.00028802317062357304
197,0.00012554991381600567
198,0.0004827577529881186
199,0.0005436077874901517
200,0.0005326634188727932
201,0.0002474487211907028
202,0.0002212598475310686
203,0.00028907452925095963
204,0.0007541942010692357
total_proposed,0.07297969585494996
total_existing,2.9791195932071335
total_combined,3.049888591283028
